1,01,"Безсрочен трудов договор по чл. 67, ал. 1, т. 1 от КТ"
2,02,"Срочен трудов договор по чл. 68, ал. 1, т. 1 от КТ;"
3,03,"Трудов договор по чл. 68, ал. 1, т. 2 от КТ;"
4,04,"рудов договор по чл. 68, ал. 1, т. 3 от КТ;"
5,05,"Трудов договор по чл. 68, ал. 1, т. 4 от КТ;"
6,06,"Трудов договор по чл. 68, ал. 1, т. 5 от КТ;"
7,07,Трудов договор със срок за изпитване по чл.70 от КТ
8,08,Споразумение по чл. 107 от КТ във връзка с чл. 83 от КТ;
9,09,Споразумение по чл. 107 от КТ във връзка с чл. 89 от КТ;
10,10,Допълнителен трудов договор по чл. 110 от КТ;
11,11,Допълнителен трудов договор по чл. 111 от КТ;
12,12,"Трудов договор по чл. 114, ал. 1 от КТ;"
13,13,Постановление по чл. 405а от КТ;
14,14,Трудов договор за ученичество по чл. 230 от КТ;
15,15,Трудов договор за вътрешно заместване по чл. 259 от КТ;
16,16,"Трудов договор по чл. 233б, ал.1 от КТ;"
17,17,"Трудов договор по чл. 68, ал. 1, т. 2 или т. 3 във връзка с чл. 121а, ал. 2, т. 1 от КТ;"
18,18,"Допълнително споразумение в случаите на чл. 121а, ал. 1, т. 1 от КТ."
