120,02395,Балей,село,Видин,Брегово
121,02405,Балик,село,Добрич,Тервел
122,02419,Балиновци,село,Габрово,Габрово
123,02436,Балкан,село,Хасково,Стамболово
124,02448,Балканец,село,Ловеч,Троян
125,02453,Балкан махала,село,Пловдив,Лъки
126,02467,Балкански,село,Разград,Разград
127,02470,Балканци,село,Велико Търново,Стражица
128,02484,Балканци,село,Добрич,Генерал Тошево
129,02498,Балуци,село,Велико Търново,Елена
130,02508,Балчик,град,Добрич,Балчик
131,02511,Балша,село,София (столица),Столична
132,02539,Бальовци,село,София,Ихтиман
133,02542,Балювица,село,Монтана,Берковица
134,02556,Банари,село,Габрово,Дряново
135,02563,Бангейци,село,Габрово,Трявна
136,02587,Баниска,село,Русе,Две могили
137,02590,Баница,село,Враца,Враца
138,02600,Баничан,село,Благоевград,Гоце Делчев
139,02614,Банище,село,Перник,Брезник
140,02628,Банковец,село,Търговище,Антоново
141,02631,Банковци,село,Габрово,Габрово
142,02645,Банкя,село,Перник,Трън
143,02659,Банкя,град,София (столица),Столична
144,02662,Баново,село,Варна,Суворово
145,02676,Банско,град,Благоевград,Банско
146,02689,Банчовци,село,София,Ихтиман
147,02693,Баня,село,Благоевград,Разлог
148,02703,Баня,село,Бургас,Несебър
149,02717,Баня,село,Пазарджик,Панагюрище
150,02720,Баня,град,Пловдив,Карлово
151,02734,Баня,село,Сливен,Нова Загора
152,02748,Бараково,село,Кюстендил,Кочериново
153,02751,Бараци,село,Кърджали,Крумовград
154,02765,Детелина,село,Бургас,Карнобат
155,02779,Барутин,село,Смолян,Доспат
156,02782,Горна Арда,село,Смолян,Смолян
157,02796,Басарбово,село,Русе,Русе
158,02806,Баскалци,село,Благоевград,Петрич
159,02810,Бата,село,Бургас,Поморие
160,02823,Батак,село,Велико Търново,Павликени
161,02837,Батак,град,Пазарджик,Батак
162,02854,Батин,село,Русе,Борово
163,02868,Батишница,село,Русе,Две могили
164,02871,Батово,село,Добрич,Добрич-селска
165,02885,Батошево,село,Габрово,Севлиево
166,02899,Батулия,село,София,Своге
167,02909,Батулци,село,Ловеч,Ябланица
168,02912,Баурене,село,Враца,Криводол
169,02926,Бахалин,село,София,Сливница
170,02935,Баховица,село,Ловеч,Ловеч
171,02943,Бахреци,село,Габрово,Трявна
172,02957,Бацова махала,село,Плевен,Никопол
173,02960,Бачево,село,Благоевград,Разлог
174,02974,Бачково,село,Пловдив,Асеновград
175,02988,Букаците,село,Смолян,Смолян
176,02991,Башево,село,Кърджали,Ардино
177,03006,Бащино,село,Кърджали,Кърджали
178,03017,Бащино,село,Силистра,Главиница
179,03023,Бащино,село,Стара Загора,Опан
180,03037,Баячево,село,Търговище,Търговище
181,03040,Бдинци,село,Добрич,Добрич-селска
182,03054,Беброво,село,Велико Търново,Елена
183,03068,Беглеж,село,Плевен,Плевен
184,03085,Бегово,село,Пловдив,Калояново
185,03099,Бегуновци,село,Перник,Брезник
186,03109,Бегунци,село,Пловдив,Карлово
187,03112,Беден,село,Смолян,Девин
188,03126,Беджене,село,Шумен,Нови пазар
189,03143,Бежаново,село,Ловеч,Луковит
190,03157,Бежаново,село,Добрич,Генерал Тошево
191,03174,Безводица,село,Добрич,Балчик
192,03188,Безводно,село,Кърджали,Черноочене
193,03191,Безден,село,София,Костинброд
194,03201,Безденица,село,Монтана,Монтана
195,03215,Безмер,село,Добрич,Тервел
196,03229,Безмер,село,Ямбол,Тунджа
197,03232,Бейковци,село,Велико Търново,Елена
198,03246,Бекриите,село,Габрово,Габрово
199,03258,Каменец,село,Кърджали,Момчилград
200,03263,Бела,село,Видин,Димово
201,03277,Беланица,село,Перник,Радомир
202,03280,Бела Рада,село,Видин,Видин
203,03294,Беласица,село,Благоевград,Петрич
204,03304,Белащица,село,Пловдив,Родопи
205,03318,Белгун,село,Добрич,Каварна
206,03321,Белев дол,село,Смолян,Смолян
207,03335,Белевехчево,село,Благоевград,Сандански
208,03349,Белеврен,село,Бургас,Средец
209,03366,Белене,град,Плевен,Белене
210,03373,Беленци,село,Ловеч,Луковит
211,03383,Бели брег,село,Монтана,Бойчиновци
212,03397,Бели брод,село,Монтана,Бойчиновци
213,03407,Бели бряг,село,Стара Загора,Раднево
214,03410,Бели вир,село,Кърджали,Черноочене
215,03424,Бели дол,село,Хасково,Ивайловград
216,03438,Бели извор,село,Враца,Враца
217,03441,Бели Искър,село,София,Самоков
218,03455,Белила,село,Бургас,Средец
219,03469,Белимел,село,Монтана,Чипровци
220,03472,Белинци,село,Разград,Исперих
221,03486,Бели Осъм,село,Ловеч,Троян
